      time,         vof [      0.9         0     0.125] - [      0.9         1     0.125],         vof [      1.4         0     0.125] - [      1.4         1     0.125],         vof [      1.9         0     0.125] - [      1.9         1     0.125],         vof [      2.5         0     0.125] - [      2.5         1     0.125],         vof [      3.5         0     0.125] - [      3.5         1     0.125],         vof [        5         0     0.125] - [        5         1     0.125],         vof [      6.7         0     0.125] - [      6.7         1     0.125],         vof [      8.4         0     0.125] - [      8.4         1     0.125],         vof [     10.2         0     0.125] - [     10.2         1     0.125]
0.0000e+00,                                                         4.668929026714855324e-01,                                                         4.715222171602287404e-01,                                                         4.697134463185652087e-01,                                                         4.700839409114867529e-01,                                                         4.686560938660158104e-01,                                                         4.686882585394961387e-01,                                                         4.646827734907084118e-01,                                                         4.559594299228567627e-01,                                                         4.554312121029999716e-01
6.6667e-05,                                                         4.748195745891441999e-01,                                                         4.850416647866062081e-01,                                                         4.839191394328117291e-01,                                                         4.836846967693735344e-01,                                                         4.563538670856810975e-01,                                                         4.728067798920395637e-01,                                                         4.674075362435248238e-01,                                                         4.668476048191122496e-01,                                                         4.538148979790562199e-01
2.0000e-04,                                                         4.755410477422525872e-01,                                                         4.857493018374107741e-01,                                                         4.843283283745538625e-01,                                                         4.843437136830524015e-01,                                                         4.570319960058363273e-01,                                                         4.734601490890205655e-01,                                                         4.679844402769423595e-01,                                                         4.675732669083200732e-01,                                                         4.546283753758104118e-01
4.6667e-04,                                                         4.752079311397608419e-01,                                                         4.844549143743826503e-01,                                                         4.842884377692358577e-01,                                                         4.837392724478853379e-01,                                                         4.566287977849364244e-01,                                                         4.729831060852002778e-01,                                                         4.676634874667580655e-01,                                                         4.669245682242621487e-01,                                                         4.541929196982550376e-01
1.0000e-03,                                                         4.753282424272295970e-01,                                                         4.840440835928281338e-01,                                                         4.845180406986179245e-01,                                                         4.836971182258651414e-01,                                                         4.566701424948695909e-01,                                                         4.729324150577478014e-01,                                                         4.676853089646884065e-01,                                                         4.668499956824213037e-01,                                                         4.542067721705037031e-01
2.0667e-03,                                                         4.752969210877524553e-01,                                                         4.838092657297558552e-01,                                                         4.845467573857700216e-01,                                                         4.835248991474477287e-01,                                                         4.565408812541076333e-01,                                                         4.728701990924534804e-01,                                                         4.676811174625404854e-01,                                                         4.665012818478043166e-01,                                                         4.542404992401560815e-01
4.2000e-03,                                                         4.752257228426979840e-01,                                                         4.836594325799358773e-01,                                                         4.845426360423197853e-01,                                                         4.834176349299084130e-01,                                                         4.565022643975237271e-01,                                                         4.728270070428846061e-01,                                                         4.676061094777381189e-01,                                                         4.663487251169312620e-01,                                                         4.541950145195103317e-01
8.4667e-03,                                                         4.751618305245076113e-01,                                                         4.834849343333406657e-01,                                                         4.845228037219437289e-01,                                                         4.832849273724874051e-01,                                                         4.564801513884790829e-01,                                                         4.727423564298381398e-01,                                                         4.675071983898632655e-01,                                                         4.662365994663201785e-01,                                                         4.540993406889568540e-01
1.7000e-02,                                                         4.751419666229177441e-01,                                                         4.831864798965609942e-01,                                                         4.844982605164338541e-01,                                                         4.830729277267531985e-01,                                                         4.564515773950612032e-01,                                                         4.726598214084591354e-01,                                                         4.674120841619367472e-01,                                                         4.660405272719599923e-01,                                                         4.539805688760868985e-01
3.4067e-02,                                                         4.753206222540678483e-01,                                                         4.829430382099783592e-01,                                                         4.844699182192632736e-01,                                                         4.827936923699495120e-01,                                                         4.565722357191789871e-01,                                                         4.726935607177524257e-01,                                                         4.674408039747410260e-01,                                                         4.658077649423643107e-01,                                                         4.540170147670483658e-01
